id,Tipo_Muerte,Tipo,Provincia,Canton,Area_Hecho,Lugar,Tipo_Lugar,Fecha_Infraccion,Hora_Infraccion,Arma,Tipo_Arma,Probable_Causa,Edad,Med_Edad,Sexo,Etnia,Estado_Civil,Nacionalidad,Anio_i,Mes_i,Grupo_hora,Edad_R
3689,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',34.376759,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
4369,FEMICIDIO,1,GUAYAS,GUAYAQUIL,URBANO,CASA,PRIVADO,2/20/2022,11:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',31.432117,A,MUJER,MESTIZO,SOLTERO,ECUADOR,2022,febrero,Maniana,Adulto
3980,FEMICIDIO,1,MANABI,QUITO,URBANO,CASA,PRIVADO,2/2/2022,11:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',27.9994,A,MUJER,MESTIZO,SOLTERO,ECUADOR,2022,febrero,Maniana,Adulto
4180,FEMICIDIO,1,GUAYAS,GUAYAQUIL,URBANO,CASA,PRIVADO,2/20/2022,11:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',31.004427,A,MUJER,MESTIZO,SOLTERO,ECUADOR,2022,febrero,Maniana,Adulto
4870,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',32.164861,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
3782,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',4.596957,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Ninio
1488,ASESINATO,0,GUAYAS,GUAYAQUIL,URBANO,'VIA PUBLICA',PUBLICO,5/2/2022,15:30,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',28,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,mayo,Tarde,Adulto
498,ASESINATO,0,GUAYAS,GUAYAQUIL,URBANO,'VIA PUBLICA',PUBLICO,2/18/2022,22:20,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',25,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,febrero,Noche,Adulto
4415,FEMICIDIO,1,GUAYAS,GUAYAQUIL,URBANO,CASA,PRIVADO,2/20/2022,11:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',31.607584,A,MUJER,MESTIZO,SOLTERO,ECUADOR,2022,febrero,Maniana,Adulto
3674,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',33.12458,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
2643,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',26.961094,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
2417,HOMICIDIO,2,PICHINCHA,QUITO,URBANO,'VIA PUBLICA',PUBLICO,5/22/2022,3:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',21.579362,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,enero,Madrugada,Adulto
3322,HOMICIDIO,2,PICHINCHA,QUITO,URBANO,'VIA PUBLICA',PUBLICO,1/2/2022,3:00,'ARMA BLANCA',OTRO,'HERIDA POR ARMA BLANCA',25.576202,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,enero,Madrugada,Adulto
4860,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',25.901788,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
4840,SICARIATO,3,'EL ORO','EL GUABO',URBANO,'VIA PUBLICA',PUBLICO,3/15/2022,14:30,'ARMA DE FUEGO',OTRO,'HERIDA POR ARMA DE FUEGO',31.813185,A,HOMBRE,MESTIZO,SOLTERO,ECUADOR,2022,marzo,Tarde,Adulto
