Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
ZAMORA CHINCHIPE;-4,06805346;-78,95132173;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/8/2023;ENCONTRADO;5/9/2023
PICHINCHA;-0,21882160;-78,51354890;17;HOMBRE;SIN_DATO;SIN_DATO;24/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,26909023;-78,54001523;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;7/2/2023
SANTO DOMINGO DE LOS TSACHILAS;0,00916720;-79,39160500;39;HOMBRE;SIN_DATO;SIN_DATO;1/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,17504166;-78,47478184;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/3/2023;ENCONTRADO;17/3/2023
PICHINCHA;-0,07124550;-78,43164870;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/8/2023;ENCONTRADO;17/8/2023
ESMERALDAS;0,98738570;-79,65649069;28;HOMBRE;SIN_DATO;SIN_DATO;7/2/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,55450221;-80,06994042;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/7/2023;ENCONTRADO;1/8/2023
GUAYAS;-2,28248943;-79,87366394;2;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/5/2023;ENCONTRADO;16/5/2023
EL ORO;-3,55450221;-80,06994042;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/7/2023;ENCONTRADO;1/8/2023
PICHINCHA;-0,34189610;-78,43294100;26;MUJER;SIN_DATO;SIN_DATO;17/9/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,09009996;-76,88715163;24;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/5/2023;ENCONTRADO;16/5/2023
GUAYAS;-2,12252930;-80,00013500;28;HOMBRE;FALLECIDO;NO DETERMINADA;15/3/2023;FALLECIDO;24/3/2023
ORELLANA;-0,30136260;-76,85710630;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/5/2023;ENCONTRADO;13/6/2023
LOJA;-3,99508483;-79,20476317;9;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/1/2023;ENCONTRADO;13/6/2023
SANTA ELENA;-2,21163704;-80,86924048;15;MUJER;SIN_DATO;SIN_DATO;17/5/2023;=DESAPARECIDO;SIN_DATO
