texto,clase
"El año pasado la Ciudad de México se estremeció luego de que se anunciara que Godzilla llegaría a la ciudad , pero no de forma literal porque el mounstro ni siquiera existe en la vida real, sino que los productores filmarían escenas de la nueva película lo que originó una gran expectativa y sobre todo, divertidos chistes y memes sobre el fatal destino que tendría Godzilla al pisar nuestro país. Fue poco lo que se supo del tema, principalmente porque el rodaje fue más rápido de lo que se esperaba (solo dos semanas), y a diferencias de otras cintas como la de James Bond ""Spectre"" donde se denunció que habían dañado edificios, la filmación de Godzilla corrió sin contratiempos, como si solo hubieran grabado tomas a las fachadas de algunos edificios. Como estas películas tardan años en salir a la luz, finalmente mostraron dos trailers oficiales de la cinta que se estrenará en el verano del 2019, y veremos como Godzilla destruye la CDMX, o por lo menos, la ciudad aparecerá unos segundos en la cinta ya que muchas veces estas cintas filmadas aquí hacen mucho ruido, pero en realidad nuestro país termina solo saliendo un par de minutos a cuadro. En el tráiler no se aprecia a ciencia exacta si Godzilla ataca México, pero si se visualiza perfectamente como una libélula gigante destroza el centro histórico de la CDMX, y además podemos ver al Godzilla peleando con un mounstro de 3 cabezas, en una ciudad que (tal vez son nuestras ganas de que aparezca nuestro país) parece ser la capital chilanga. Habrá que ver si México tiene un papel importante o solo es escenario para unos segundos de trama, como sucedió con ""Spectre"", cuyo rodaje causó mucho revuelo y al final México sale unos pocos minutos (y con filtro color caca, para acabala de amolar). Y no es por ser pesimistas pero parece que realmente México no tendrá un papel importante ya que además de que el rodaje fue breve, como mencionamos no hubo contratiempos, y principalmente, en el lapso del rodaje jamás se vio que arribaran a México algunos de los protagonistas como Millie Bobby Brown (la niña de ""Stanger Things""), Vera Farmiga, Sally Hawkins (la protagonista de La forma del agua ) ni otros actores, por lo que parece ser que efectivamente nuestro país solo saldrá uso segundos para presentar a la libélula gigante, y mostrar como es capaz de destrozar ciudades, para luego enfrentarse a Godzilla. Sean peras o manzanas, aquí te dejamos los dos trailers de la cinta ¿puedes reconocer que parte es donde sale México?.",fake
Manuela Carmena pide a los madrileños que guarden las latas y las bolsas de la basura para hacer los vestidos de los Reyes Magos EL MUNDO TODAY RADIO. PRISA contrata pitonisas para que hagan el escrutinio electoral de las próximas elecciones.,fake
"Una fuerte sorpresa se llevó el todavía presidente Enrique Peña Nieto, al arribar a Los Pinos para terminar de hacer su maleta y desalojar la residencia oficial el día de mañana, y encontrarse con la sorpresa de encontrar en la cama a su esposa Angélica Rivera, y al ahora nuevo mandatario López Obrador, en una situación muy comprometedora. EPN menciona que aunque ambos personajes solo estaban abrazados, se veían ""muy sospechosos"", ya que no es normal que dos extraños unan sus cuerpos de dicha manera: ""Todo el día de hoy estuve ocupado firmando los últimos contratos ilícitos para beneficiar a mis amigos, digo, para dejar todo listo para darle la presidencia a Obrador. No tuve tiempo de hacer mi maleta y por eso en la noche llegue rapidísimo a arreglar mis cosas. Entré a mi cuarto sin avisar y lo primero que veo es a mi esposa acostada en la cama con Andrés Manuel. No estaban desnudos ni besándose, pero no es normal que alguien este así con tu esposa, y menos riéndose de lo lindo"", confesó entristecido. Nieto menciona que a La Gaviota y AMLO les valió poco que lo vieran, y solo le explicaron que habían terminado abrazados por error: ""ash ya llegaste Enrique, estaba enseñándole a AMLO el que será su nuevo cuarto aquí en Los Pinos, le pedí que me ayudará a mover el buro de al lado y sin querer nos caímos. Todo fue tan divertido, luego entraste tu a arruinar la diversión como siempre, ash"", comentó Rivera. Según varios medios, se rumora que Angélica utilizará su sensualidad y belleza para continuar siendo Primera Dama por 6 años más, ya que no esta dispuesta a sacrificar los lujos que tiene: ""ya no eres presidente ¿y ahora que me darás?... ya no tienes ni pensión, nadie te quiere en la política y hasta Televisa ya te quitó la oferta de ser galán de telenovelas, ¿cómo piensas mantener mi estilo de vida?, responde animal que por 6 años te solapé, pero ahorita ya no tienes poder"", le comentó La Gaviota enojada a Kike. Según varios medios, Rivera logró sacarle su WhatsApp a AMLO, prometiendo que lo ayudará en todo, y hasta puede ir a su casa de vez en cuando para explicarle el funcionamiento de la mansión, y así poco a poco irlo seduciendo utilizando su arma infalible que es la sensualidad, y lograr su cometido de continuar siendo Primera Dama.",fake
"La 1 de Televisión Española repitió ayer como cadena más vista. Sin duda, el traslado de Los desayunos de La 1 a las. fue todo un éxito. El interés periodístico de ver a su primer invitado, Albert Rivera, bebiendo café y no un whisky cola a esas horas de la noche proporcionó al programa un excelente 24% de share. El segundo puesto del podio de los dioses del olimpo televisivo lo consiguió La Sexta con la emisión del vídeo de las vacaciones en Lanzarote de Antonio García Ferreras y Ana Pastor. El minuto de oro fue la emotiva sorpresa que Pastor le dio a su marido: en el hotel había buffet libre. Sin embargo, el momento que pasará a la Historia de la televisión fue la visita al Loro Park de Lanzarote, donde la periodista interrumpía constantemente a los loros. Telecinco obtuvo unos datos algo más discretos con una edición especial de Pasapalabra con Javier Cárdenas y Rosa de España como invitados. Ninguno de ellos consiguió el bote. O sí. La dirección del concurso aún sigue intentando descifrar las respuestas de ambas celebridades. Peor audiencia consiguió Antena 3 con Tu Cara Me Suena. El de ayer fue un programa dedicado a las imitaciones políticas. A pesar de que Juan Muñoz ganó la gala imitando a Pedro Sánchez, la concursante Yolanda Ramos (caracterizada de Susana Díaz) impugnó las votaciones y creó una gestora con uno que cantaba en Auryn y Esther Arroyo. Mientras no se solucione el embrollo, el líder del programa será un foco del plató. Entre las opciones menos atractivas para el público encontramos la propuesta de Cuatro, que ayer emitió la película Ñ-Men, la versión española de una conocida película de súper héroes. El protagonista de uñas afiladas, Torrezno, al que de joven picó una tapa de bar radioactiva, no consiguió la atención del espectador. Sorprendentemente, La 2 fue la última opción para los españoles. La nueva versión de La Misa de La 2 no convenció. El formato ha sido modernizado, pero quizá el espectador habitual no está acostumbrado al formato ""late"". La entrevista con El Cigala hablando de las escrituras apócrifas fue interesante. El momento más divertido fue la aparición del personaje creado por Silvia Abril, La Niña de Yahvé. Las autonómicas no vivieron su mejor noche. TV3 emitió el documental Independence Day, en el que Will Smith recuerda los hechos de 1714, cuando las tropas españolas enviaron naves espaciales para conquistar Barcelona. El reality de TVG Percebe busca percebeira y el informativo económico de Canal Sur Chirigota News marcaron su mínimo histórico de esta temporada.",fake
"685 curas católicos fueron acusados de abuso sexual contra menores en las últimas décadas en Illinois, reveló este miércoles, 19 de diciembre del 2018, Lisa Madigan, fiscal de este estado del centro-oeste de Estados Unidos. Las diócesis de Illinois publicaron los nombres de 185 curas involucrados en acusaciones serias, pero el examen de sus archivos reveló que habían sido notificados de "" acusaciones contra al menos 500 curas más "", escribió la fiscal en un informe preliminar. Los resultados provisorios de una investigación que comenzó en agosto del 2018 encontraron que en las seis diócesis del estado habría al menos 685 sacerdotes y miembros del clero acusados. En una declaración mordaz, la oficina de la Procuradora General criticó el manejo de las acusaciones de abuso por parte de la Iglesia, diciendo que faltaban las investigaciones, y en muchos casos las autoridades policiales y de bienestar infantil ni siquiera fueron notificadas. ""Las etapas preliminares de esta investigación ya han demostrado que la Iglesia Católica no puede controlarse a sí misma"", dijo Madigan. Añadió que la iglesia no había proporcionado ""un informe completo y preciso de todos los comportamientos sexuales inapropiados que involucran a los sacerdotes en Illinois"". La investigación de Illinois fue motivada por un amplio informe del gran jurado en agosto que reveló acusaciones de pedofilia creíbles contra más de 300 sacerdotes e identificó a más de 1 000 víctimas de agresiones sexuales infantiles encubiertas durante décadas por la Iglesia Católica en el estado de Pensilvania. En octubre, las autoridades federales abrieron por primera vez una investigación sobre el abuso del clero. Las diócesis del estado informaron haber recibido citaciones del gran jurado federal para producir informes. Impactante y largamente esperado La Arquidiócesis de Chicago, la más grande de Illinois, respondió al informe de Madigan insistiendo en que todas las denuncias de abuso se investigan y se informan a las autoridades. ""Desde 2006 hemos publicado los nombres de los sacerdotes diocesanos sobre los que pesan alegatos fundamentados de abuso, y en 2014 publicamos más de 20 000 documentos de los archivos de estos sacerdotes "", señaló la archidiócesis en un comunicado. Sin embargo, la oficina de Madigan aseguró que a menudo las acusaciones de abuso no han sido investigadas adecuadamente. Una de las razones de esa falta de acción es que el acusado había fallecido o ya había renunciado. ""Este informe es impactante y es exactamente lo que esperábamos"", dijo a la AFP Zach Hiner, director ejecutivo de la Red de Sobrevivientes de los Abusados por Sacerdotes (SNAP). "" Sabíamos hace mucho tiempo que los funcionarios de la iglesia han estado ignorando y minimizando las acusaciones de abuso y este informe es solo otra prueba de que se trata de un problema sistémico, no sólo local "". Una presión en aumento Desde que se abrió la investigación en el estado, las diócesis han sumado a otros 45 miembros del clero a sus listas oficiales de acusados sospechados con razones consistentes de haber cometido abuso sexual infantil, según la oficina de Madigan. La fiscal general anticipó que se divulgarán más nombres a medida que se profundice la investigación. ""Las denuncias de abuso sexual a menores, incluso si derivan de una conducta que ocurrió hace muchos años, no pueden ser tratadas como meros asuntos internos"", dijo Madigan. La Iglesia Católica ha sido golpeada por una serie de escándalos de abuso infantil en los últimos años, con denuncias generalizadas de encubrimiento. La presión pública ha ido aumentando sobre sus instituciones. En diciembre, las autoridades de la orden jesuita que supervisaron al menos 40 estados de Estados Unidos dieron a conocer los nombres de más de 240 de sus miembros que han sido acusados de abuso, entre ellos decenas de sacerdotes objeto de múltiples denuncias. Los jesuitas constituyen la orden religiosa masculina más grande de la Iglesia Católica, con unos 16 000 miembros en todo el mundo que no están directamente bajo la jerarquía de la Iglesia. En Estados Unidos y Canadá operan 30 colegios y 81 escuelas.",real
"Desarticula red de testaferros del narco 'Gerald'. OPERATIVO. Las capturas y allanamientos se realizaron en varias ciudades colombianas. (Foto Policía Nacional de Colombia) Las autoridades capturaron a 24 personas y numerosos bienes del 'Pablo Escobar ecuatoriano'. Redacción BOGOTÁ AFP Las autoridades de Colombia capturaron a 24 presuntos testaferros del capo del narcotráfico conocido como el ""Pablo Escobar de Ecuador"", extraditado a Estados Unidos, informó ayer la fiscalía. Las personas eran ""propietarias de múltiples inmuebles, vehículos de alta gama y sociedades que, según las investigaciones, el capo pretendía ocultar"", indicó el organismo en un comunicado. Édison Washington Prado, también conocido como ""Gerald"", fue capturado en abril de 2017 en Colombia y extraditado hacia Estados Unidos en febrero de este año, acusado de enviar más de 250 toneladas de cocaína a través de la ruta del Pacífico.""Al tiempo que hacemos las capturas, inmediatamente les quitamos los bienes (...) Ellos no se esperan que les quitemos, como se dice, 'la gasolina'"", declaró Andrés Jiménez, fiscal contra las finanzas del crimen organizado. Bienes y dinero De acuerdo con la investigación, los presuntos integrantes de la organización adquirían bienes lujosos con dinero en efectivo producto del tráfico de drogas liderado por alias 'Gerald'. La policía y la fiscalía de Colombia, con el apoyo de la Administración para el Control de Drogas (DEA) de Estados Unidos, incautaron cerca de 100.000 dólares, ocuparon 125 bienes que incluían vehículos, inmuebles, sociedades y cuentas bancarias, todo avaluado en más de 120.000 millones de pesos, unos 37 millones de dólares. Las capturas se dieron en los departamentos de Valle del Cauca (suroeste), Nariño (suroeste), César (norte) y Tolima (centro) y los detenidos deberán responder por los delitos de lavado de activos, concierto para delinquir, testaferrato y enriquecimiento ilícito. Capo de capos Las autoridades comparan a Prado con Pablo Escobar, el famoso jefe del narcotráfico colombiano abatido en la década de los noventa, por su poder dentro del negocio de las drogas en Ecuador, un país de tránsito de la cocaína que se produce en Colombia. EL DATO Tras cuatro décadas de lucha contra el narcotráfico, Colombia sigue siendo el principal productor mundial de cocaína y Estados Unidos el mayor consumidor. Asimismo, está vinculado en sobornos y homicidios de fiscales e investigadores en Ecuador. En Colombia, el capo se hacía llamar John Alex Rengifo García para despistar a las autoridades. En las calles de Tumaco era conocido como un empresario pesquero que se movilizaba escoltado en lujosas camionetas blindadas. En abril de 2017, el capo ingresó a Colombia ilegalmente por Ipiales, cuando un retén de la policía, que le seguía de cerca los pasos, lo detuvo. Carrera delictiva ° A sus 20 años, Washington Prado comenzó su increíble crecimiento en el mundo de la mafia; tres lustros después estaba amasando una fortuna millonaria y dirigió una organización similar en todo sentido a la del extinto cartel de Medellín. Se calcula que entre 2015 y 2016 logró transportar desde el Pacífico colombiano hacia Centroamérica y Estados Unidos 250 toneladas de cocaína; otras 150 le fueron decomisadas en ese periodo. Ahora, las investigaciones en el sur del país continúan siguiéndole el rastro con el fin de desmantelar toda la red de socios que al parecer aún mantiene vivos varios tentáculos. ",real
"Lo principal ¿por qué diablos se empeñan en hablar de un tema que supuestamente les da asco?: tomemos como ejemplo la popo, algo que a todos nos da asco por su olor, textura e imaginar de donde vino. Alguien que le da asco la caca no habla de ella, al contrario, evita imaginarla, evita recordar como es la textura. Si en la calle se topa con una popo de perro o humano no se queda al lado de ella para olerla, mirarla y analizarla. Se va por el asco que le tiene en todos los sentidos, continua su vida y trata de olvidarla. ¿Entonces porque si a un homofóbico le dan tanto asco los gays, su tema principal es la homosexualidad?, no solo se trata de que todo el tiempo menciona el tema y por alguna razón su vida gira entorno a eso, se trata de que intenta llamar la atención a toda cosa de algo que (supuestamente) le da una tremenda repulsión. Si homofóbico, no dudamos que te den asco los gays afeminados y feos, pero por favor, todos sabemos que te mueres con estar con un hombre guapo, atlético y sobre todo ""varonil"" para dizque guardar las apariencias. Porque así como tú eres una variante del gay (el closetero) no se puede negar que hay otros que te acosan, gays a los que no les importas, gays que les das asco, g ays que jamás te voltearían a ver, gays que les gustas porque están urgido, etc. Como dice Miss España, la homosexualidad un abanico y todos sabemos que tu perteneces a esa diversidad, aunque según tu seas bien machote y mujeriego ( que por cierto, solo te hacen caso mujeres urgidas o acomplejadas, jaja).",fake
"Gran desconcierto experimentan millones de ciudadanos españoles luego de que su representante en Miss Universo este año, Ángela Ponce, no quedara ni siquiera en las finalistas aún y cuando era la favorita del público a nivel internacional, y principalmente ""era la que más palanca tenía"" (literalmente) sobre las otras concursantes. Los españoles señalan que confiaban que Ponce sería la segunda Miss Universo que han tenido ya que solo una española ha ganado la corona, mencionando que aseguran que ""hubo fraude o discriminación"", ya que además de ser ovacionada de pie en su presentación, Ponce de forma literal y no metafórica, ""tenía una palancota para ganar"": ""Por supuesto que hubo fraude por dos razones: primero, era la más conocida y favorita a nivel internacional, i ndependientemente de la polémica que la rodeó fue la concursante que los medios de todo el mundo más entrevistaban, además en su presentación en Miss Universo el recinto donde se realizó el certamen casi se cae de gritos y aplausos al presentarla. Segundo, era la que más palanca tenía, eso quiere decir que si era la favorita y tenía una palancota como buena española (porque no es por presumir, pero los gachupines estamos m y bien dotados) era obvio su triunfo. Solo un fraude pudo quitarle la corona, y es obvio que eso pasó"", relató el organizador de Miss España. El español señala que presentarán pruebas ""de la palancota"" que tenía Ángela, para demostrar que su triunfo era seguro: ""ella no quiere que toquemos el tema de la palanca, se siente incomoda pero ya le dijimos que si demostramos lo que decimos es casi seguro que le darán el triunfo seguro. Lo único que tiene que hacer es aceptar su palanca y dejarse hacerse unas pruebas. No es por nada pero es una palancota es de 22 cm y dormida , con eso les decimos todo y con eso se dan cuenta que realmente hubo fraude, porque la tal Miss Filipina que ganó era muy insípida, hasta estaban mejor las de los países que nadie conoce y estan medio gachas"", dijo. El hombre menciona que si no le dan la corona, la palancota de Ángela le abrirá las puertas en otros lados: ""hasta las mujeres que no son lesbianas al saber de la palancota que maneja Ponce ya se les antojó. Igual si no gana Miss Universo si podrá triunfar en otro ámbito, con esa palanca se abre cualquier puerta"", puntualizó riendo.",fake
"Movilizaciones en la provincia del Carchi. PARO. El sector de la transportación se ha sumado a esta medida de hecho. PARO. El sector de la transportación se ha sumado a esta medida de hecho. PARO. El sector de la transportación se ha sumado a esta medida de hecho. PARO. El sector de la transportación se ha sumado a esta medida de hecho. PARO. El sector de la transportación se ha sumado a esta medida de hecho. ‹ › Redacción CARCHI Con el respaldo de los seis alcaldes, asambleístas y del prefecto de la provincia, desde las. de hoy, fuerzas vivas del Carchi, apoyadas por gremios organizados, iniciaron una paralización en el puente internacional de Rumichaca, frontera entre Ecuador y Colombia, en protesta por la falta de alternativas gubernamentales para la reactivación económica de la zona. Además se encuentra obstaculizada la Panamericana Norte E35 en diferentes tramos como La Posta San Gabriel y Cristóbal Colón en el cantón Montúfar. Jairo Pozo, presidente del Comité Cívico para la Reactivación Económica del Carchi (Ccrec), manifestó que esta medida tiene el carácter de indefinida, hasta que las autoridades del Gobierno cumplan con los ofrecimientos realizados. Tratamiento especial solicitan al tema de la inseguridad en Tulcán y el resto de cantones que en los últimos meses se ha incrementado considerablemente, con varios hechos violentos que han alterado la tranquilidad de estos poblados fronterizos. Adicional a esto piden atención a la crisis que vive el sector comercial, y otro de los grandes afectados es el sector agrícola y ganadero, que a decir de Pozo, no ha recibido atención por parte del Gobierno. Recordó que hace algunos meses visitó la frontera el ministro de Industrias Pablo Campana y junto a Paúl Granda, se comprometieron a realizaron un gabinete ampliado en la provincia, pero han incumplido su palabra. Espacios Los manifestantes han realizado el cierre total al paso vehicular en el puente internacional de Rumichaca, Panamericana Norte, Terminal Terrestre, Obelisco de la ciudad. Panamericana Norte Sector La Posta y la entrada a Cristóbal Colón en el cantón Montúfar. En Huaca el bloqueo se registra en la Panamericana Norte, Sector Jesús del Gran Poder y en el cantón Bolívar la Panamericana Norte, Sector del Mamut. Medidas El Distrito de Educación (Zona 1) dispuso la suspensión de las clases en la provincia. ",real
"En los múltiples registros que los equipos de Inspección Ocular de la Guardia Civil han realizado en la vivienda del asesino confeso de la joven profesora de 26 años Laura Luelmo ha quedado constatado que Bernardo Montoya, su vecino de enfrente, trató de borrar todas las pruebas que le incriminaban como autor de su muerte. Limpió toda la casa y sus propias ropas con lejía y se deshizo del cuerpo de su víctima, junto con diversas pertenencias de esta, trasladándolos en su coche, un Alfa Romeo oscuro. Pese a esos intentos de eliminar las huellas de su último y brutal crimen —ha pasado la mitad de sus 50 años en prisión y cuenta con una retahíla de antecedentes, que incluyen un asesinato—, los expertos de la Guardia Civil han hallado ""abundantes restos de sangre en esa vivienda"" de El Campillo (Huelva) en la que presuntamente acabó con la vida de Laura Luelmo y la agredió sexualmente, tal y como recoge la autopsia y en contra de la declaración que realizó este jueves el detenido en dependencias policiales y delante de su abogado. La profesora tan solo llevaba instalada tres días en esa casa, alquilada a una de sus compañeras del instituto Vázquez Díaz de Nerva (a 8 kilómetros), donde había encontrado su primer trabajo como docente en la especialidad de Dibujo. Montoya, que había salido de la cárcel el pasado 22 de octubre, llevaba menos de dos meses instalado en la que fuera la casa de sus padres, justo enfrente. Su última condena fue de dos años y nueve meses por un robo con violencia. Pese a que ha mentido de manera patente en su confesión y que no ha querido colaborar con los investigadores para dar con el teléfono móvil y diversos enseres de su víctima, los agentes han encontrado también el monedero y las llaves del coche y de la casa de la joven dentro de una bolsa en las inmediaciones del cementerio de El Campillo. Y también la manta donde presuntamente la envolvió después de agredirla y que usó para transportarla en su coche hasta el paraje de Las Mimbreras, a escasos cinco kilómetros del pueblo (2.000 habitantes), donde abandonó su cuerpo y donde el pasado lunes fue encontrado con visibles signos de violencia. En su coche, que en estos momentos están inspeccionando también los especialistas de la Guardia Civil, también han aparecido ""restos biológicos que podrían pertenecer a la chica"", según fuentes próximas a la investigación. El teléfono móvil de la joven sigue sin aparecer, aunque su última señal marca un punto a nueve kilómetros del lugar donde hallaron su cuerpo. Pero la multitud de pruebas incriminatorias acumuladas por los investigadores podrían ser suficientes para que la juez lo enviara a prisión mañana viernes, cuando está previsto que pase a disposición judicial. ",real
