texto,clase
"Las concursantes del Miss Universo 2018 han comenzado a legar a Tailandia , país donde se realizará el evento de este año, con la finalidad de acomodarse y comenzar con los ensayos generales del certamen. Como se veía venir, la polémica de Ángela Ponce, la Miss España transexual pronto iba a estallar, y era obvio que alguna concursante se mostraría renuente a aceptar a una competidora que nació siendo hombre. Si bien algunas la han apoyado y otras se han mantenido al margen no dando opiniones al respecto, algunas ya comenzaron a mostrar abiertamente su repudio y descontento contra Ángela, tal es el caso de Miss Rusia, una mujer llamada Yulia Poliachíjina, quien decidió no quedarse callada y exigir a los organizadores que ni se les ocurra ponerla como compañera de cuarto con Miss España ""porque no quiere compartir habitación con un hombre"" Fue en un programa de televisión donde Miss Nicaragua y la propia Miss España confirmaron que Miss Rusia exigió no tenerla de compañera de cuarto, ya que se sentirá incomoda de -según sus palabras- ""dormir con un varón"", e incluso algunas concursantes aseguran que la rusa ha comentado que teme ¡que Miss España vaya a abusar sexualmente de ella!, algo que resulta ilógico porque suponemos que a Ponce le gustan los hombres. Recordemos que aunque parezca banal y superficial, este tipo de certámenes sirven para reflejar la cultura de cada país ya que las participantes tienen una personalidad acorde al entorno en que se desarrollaron, y por eso no resulta raro que Miss Rusia, proveniente de uno de los países más homofóbicos del mundo donde hasta su presidente Vladimir Putin incita a los habitantes a agredir a los homosexuales, posea una actitud homofóbica y no tenga reparo en aceptar abiertamente su repudio hacia un transexual. Lo que no entendemos como es que la tal Miss Rusia puede temer que Miss España le haga algo, porque así a esa nos vamos, la mujer tiene una cara de psicópata asesina que no puede con ella, pero bueno, que se puede esperar de una mujer orgullosa de las costumbres de un país gobernado por Putin. Ante esto suponemos que Miss Rusia firmó su sentencia dentro del concurso y ni siquiera será considerada para ser finalista, ya que evidentemente los organizadores dejaron en claro que quieren representantes que muestren un mensaje de inclusión hacia la diversidad.",fake
"Luego de mantener un perfil bajo por el éxito arrollador de la película ""Coco"" que muestra su vida, la famosa familia de zapateros y cantantes ""Los Rivera"", originaria de Santa Cecilia, decidió romper el silencio y revelar para una entrevista ""lo orgullosos que están de que su tatarabuela Coco haya ganado las elecciones presidenciales de México 2018"" , mencionando que temían que su avanzada edad y su dificultad para hablar fueran impedimento para que obtuviera el triunfo. Fue Julio, el nieto de mamá Coco (y papá del niño Miguel, protagonista de la cinta) quien señaló que jamás pensaron que la tierna tatarabuelita llegaría a obtener la silla presidencial, por lo que se sienten sumamente orgullosos: ""Lo que nos alegra a mí y a todos los mexicanos es que Mamá Coco es una mujer de pueblo. Admiro su perseverancia ya que estuvo en todos los partidos políticos hasta que f undó el suyo propio llamado MORENA, posteriormente luchó 15 años por obtener la presidencia del país. Pese a su avanzada edad y le decían que ya estaba senil nunca se rindió y siguió adelante"", comentó. Julio menciona que muchos creen que Coco falleció ya que en la cinta así la muestran, pero menciona que se trató solo de algo ficticio: ""la cinta de Disney cuenta nuestra historia como Los Rivera pero eso no quiere decir que así vivimos realmente. Hay ciertas diferencias, por supuesto para hacerla más dramática y emotiva Mamá Coco muere al final, pero en la vida real sigue viva, tan viva esta que después de 15 años ganó la presidencia y ahora es nuestra mandataria. Estamos contento porque la gente la ama y ha demostrado realmente ser una presidenta del pueblo; viaja en avión comercial y tendrá una vida austera, ya ven que hasta Los Pinos abrió al público. Lo malo que si esta bien viejita como en la película y casi no se puede mover ni hablar , pero bueno, así puede pensar mejor las acciones que tomará en el gobierno y ayudar mejor a la nación, aunque para firmar una hoja tarde 5 horas y se trabe a cada rato"", relató. Por su parte, el famoso niño Miguel señala estar orgulloso de su abuelita: ""ella es muy estricta pro a la vez cariñosa, fue la única que me apoyo para ser cantante. Mis papás me cuentan que ya competía por la presidencia desde antes que naciera y dos veces le robaron las elecciones, por eso me da gusto que finalmente haya ganado, sobre todo porque a su edad se sentía triste de no hacer nada y ahora es la que gobierna en el país. Realmente estoy emocionado de que mi Mamá Coco sea la mera mera del país"", comentó emocionado Miguel, señalando que ya le está componiendo su primera canción, que podría convertirse en el nuevo himno nacional del país.",fake
"Gran sorpresa se llevó la hija de Donald Trump, la socialité y empresaria Ivanka Trump, luego de que una persona le enviara solicitud y cientos de mensajes a su cuenta ultra personal de Facebook, la cual solo se la da a personas conocidas. La mujer señala que por seguridad tiene un perfil secreto de Facebook con un nombre falso, el cual usa para comunicarse con sus amistades y familiares cercanos, por lo que le pareció raro que alguien le mandara solicitud y le escribiera sabiendo que es ella. Según varios medios, fue el hijo menor del nuevo presidente, López Obrador, el preadolescente Jesús López, quien logró dar con su cuenta con la finalidad ""de estar en contacto y conocerse más"", esto luego de que el chico conociera por primera vez lo que es el amor al quedar impactado con la hermosura de Ivanka en la toma de protesta de su padre: ""Como todos los adolescentes de su edad, Chuyito esta conociendo lo que es el amor por primera vez, y era obvio que una mujer tan impactante como la hija de Trump le llamaría la atención. No podía creer que veía a alguien tan bella, por el trabajo de su papá Jesús solo había visto mujeres como Josefina Vázquez Mota, Delfina Gómez o Elba Esther Gordillo, pensó que todas las mujeres eran así y por eso cuando vio a Ivanka fue como si viera a un ángel, fue amor a primera vista"", comentó un reportero de la revista ¡Hola!, que ahora se dedicará a subir puras notas de Obrador y su familia para haber si agarran hueso. El periodista señala que Chuy logró dar con el Facebook personal de Ivanka, lu ego de que esta se lo diera a la nueva Primera Dama de México, Beatriz Gutiérrez: ""Trump es muy astuta y le dio a Beatriz su Facebook personal supuestamente para generar empatía pero todo se trata de una estrategia para tratar de manipularla a ella y Obrador. Lo que no contó es que Chuyito revisaría el Facebook de su mamá para dar con el contacto de ella. Tras revisar la red social de su madre sin permiso, el chico finalmente encontró el Facebook de Ivanka, porque anteriormente ya le había escrito a su fan page pero no le respondí a, así que con la cuenta personal no tendría pretextos para que su mensaje no le llegara"", dijo. Según comenta el periodista, durante la toma de protesta Jesús no cruzó palabra con Trump, por eso en sus mensajes le recordó que era el chico que estaba sentado a su lado: ""Hola Ivanka espero estés bien ¿sabes quien soy?, soy el hijo del nuevo presidente de México, el que estaba a tu lado. Te quería saludar pero me dio pena, la verdad te me hiciste buena onda y quiero ver si me aceptas y podemos hablar, y un día salir a tomar algo. Mi papá me da $10 mil pesos para gastar cada domingo, te puedo invitar al Starbucks o a Six Flags, o igual lo convenzo de yo ir a Estados Unidos y vernos ¿te parece?, por cierto, muy guapa en tus fotos, te daré like a todas, y me llamo Jesús, pero me puedes decir Chuy, te quiero mucho"", le escribió el niño. Según varios medios, Ivanka simplemente respondió el mensaje de Chuy con un icono de manita arriba, y aún no ha aceptado la solicitud aunque tampoco la ha rechazado, para no causar un conflicto entre México y Estados Unidos.",fake
"Aunque muchos los odien y los critiquen porque de $50 en $50 centavos o $1 peso que dan más caro cada producto, grupo Femsa se hace cada vez más millonario (mientras mantienen a los trabajadores esclavizados con sueldos míseros), la realidad es que los Oxxo´s se han convertido en un referente nacional y es inevitable ir a comprar a alguna de estas tiendas, sobre todo porque nadie sabe cómo le hacen, pero conocen perfectamente el comportamiento de los consumidores mexicanos, al grado de que se hace una necesidad ir a adquirir productos a dicho lugar mínimo 4 veces a la semana. Si bien es cierto que parece imposible que satisfagan aun más las exigencias del consumir (principalmente porque ya hay una tienda de estas en casi cada esquina del país), la realidad es que los directivos del Oxxo sorprenden con sus estrategias, arriesgándose demasiado a crear nuevos métodos de venta que para muchos resultarían descabellados, pero para ello son una oportunidad de oro. Tal es el caso del nuevo modelo según una fotografía que ronda internet, donde se aprecia un ""mini Oxxo ambulante"" que maneja un hombre y recorre distintas calles, y que vende los productos básicos que más se venden en las tiendas ¡incluyendo el famoso Café Andatti!"". El puesto móvil puede transitar sin problemas por todas las calles ofreciendo mercancía de gran demanda como refrescos, chicles, Sabritas, y como mencionamos, el tradicional café por el que muchos visitan la tienda (incluyendo el presidente López Obrador, que hace poco fue visto comprando esta bebida para poder despertar). Por lo que se visualiza en la imagen, se aprecia que el mini Oxxo está diseñado no para permanecer en un solo lugar, sino poder trasladarse a varios puntos, por lo que ahora ya no será necesario que camines una, dos o tres cuadras para ir a un de estas tiendas, sino que solo bastará que abras la puerta de tu casa para adquirir algún producto, sin tener que caminar unos pasos. Cabe aclarar que la fotografía no parece ser un montaje, sin embargo, todavía no se sabe si realmente Femsa lanzó de forma oficial estos ""Oxxo´s móviles"", o a una persona se le ocurrió crearlos pese a no tener el permiso correspondiente, aunque se aprecia que la persona que maneja el puesto trae puesto el tradicional chaleco rojo oficial de la tienda, además de que como mencionamos, se aprecia una tradicional cafetera de Andatti, por lo que si esto es real, el Oxxo definitivamente ha llegado a un nuevo nivel, y ahora solo bastará abrir tu puerta para poder adquirir algún productos sin tener que caminar unas cuadras.",fake
"Nacional , Salud y bienestar. Polémica por cereal que trae ampolla de insulina como premio Aguda controversia ha generado a la hora del desayuno la nueva promoción de una conocida marca de cereales que ha decidido incluir en sus cajas una ampolleta de insulina en lugar de las ya conocidas figuritas de acción y aquellos 'muñecos de toda la vida'. El incentivo, según el fabricante, busca que los niños se vayan familiarizando de manera lúdica con esta hormona, empleada en el tratamiento de la diabetes. Los primeros en atragantarse con las hojuelas mientras veían el contenido de las cajas fueron los padres, quienes jamás habían relacionado un alimento tan práctico y delicioso con la peligrosa enfermedad. Por su parte, los congresistas que históricamente han defendido el derecho a la libre empresa y el cultivo de la diabetes como patrimonio cultural de la nación apoyaron esta campaña y aprovecharon para descalificar a quienes se oponen a los alimentos azucarados. Este fue el caso de Dulcelina Muñetón y Tony Obesso, quienes a una voz afirmaron: ""Esa moda progresista de quitarle el azúcar a todo va a convertir a este, el país más feliz del mundo, en una cueva de flacuchentos amargados y para colmo socialistas. ¿Cuándo han visto ustedes a un gordito triste? ¡Jamás! Incluso cuando quedan en silla de ruedas siempre sonríen y son ejemplo de superación para el resto de sus compatriotas, además el consumo de carbohidratos es fundamental para controlar el virus de la ""homosesualidad"" que está rondando los colegios del país"". Por su parte, RedPaPaz , organización que viene luchando por el derecho a la información de los consumidores, expresó que el cambio que se necesita no está en los juguetes sino con advertencias claras en el frente de los empaques. Otras empresas de comidas han empezado a unirse a las de cereales en esta innovación y han empezado a incluir en su cajita alegre bonos para reclamar muletas, prótesis, estetoscopios, glucómetros, medidores de tensión arterial y seguros exequiales. ""Sabemos que nuestros consumidores frecuentes tarde o temprano van a necesitar este tipo de productos, entonces pensamos que es la mejor manera de darles gusto"", explicó Melvin Barriga, gerente de marketing.",fake
"Gran enojo, tristeza y decepción experimentó el expresidente de México, Vicente Fox, luego de que arribara a la ciudad de Guanajuato Capital y literalmente le negarán la entrada, esto tras volverse ""un simple pobretón cualquiera"", luego de perder la millonaria pensión que gozaba por haber dirigido a México 6 años, y todo por culpa de Andrés Manuel López Obrador, que dejo a él y otros exmandatarios en la calle. Vicente menciona que jamás pensó cuando él y su espora Martita Sahagún quisieron ir de fin de semana a Guanajuato se toparían con la sorpresa de ser despreciados por no tener dinero, situación que los hizo sentir completamente humillados: ""Estábamos aburrido en nuestro rancho en León y le dije que Martita que porque no íbamos a ver las momias de Guanajuato, a ver si seguían igual de conservadas o ya se habían secado más. No teníamos nada que hacer y nos dispusimos a ir, sin embargo desde que llegamos en nuestro BMW del año 2010 nos miraron muy feo por traer un carro viejo. En la entrada había unos señores con traje, lentes y radios que escogían quien podía pasar y quien no. Les expliqué que yo era hijo prodigo de Guanajuato porque nací ahí y era expresidente, y de repente los hombres soltaron una fuerte carcajada, e inmediatamente me dijeron que si había sido presidente del país entonces era un don nadie , porque con la llegada de AMLO ahora somos unos simples pobretones porque ya no tenemos pensión. Sin mirarnos a los ojos nos dijeron que nos retiráramos, y hasta nos aventaron a un lado para que pasaran los verdaderos millonarios. Le dije al hombre que como podía tratar de dicha manera a alguien que alguna vez lo gobernó, y siguió insistiendo que los jodidos como yo no entrarían, que gracias a AMLO ya no somos nada"", comentó entristecido. Fox señala que suplicó piedad por ser un hombre de la tercera edad, sin embargo las leyes son claras: ""quien no tenga un ingreso millonario, no podrá ingresar"": ""Lo siento señor, si continuara con su pensión con gusto lo dejamos entrar, pero ya no esta al nivel de la ciudad, si quiere ir a un pueblo barato ahí esta San Miguel de Allende, es un poco más económico que aquí, e igual allá si le alcanza aunque sea para una nieve de la plaza, aquí solo va a venir a dar lastima. Ya váyase a San Miguel viejillo y deje pasar a los verdaderos Fifís, además usted apesta a mota y no dejamos entrar drogadictos, a menos que consuman sustancias caras, no simple marihuana"", le gritó el cadenero de Guanajuato a Fox.",fake
"Desgranamos los perfiles de los posibles nuevos Ministros RAJOY REJUVENECE EL GOBIERNO PONIENDO DE MINISTRAS A LA YENNI Y A LA DÉBORA Aunque el Presidente del Gobierno, Mariano Rajoy, no hará públicos los nombres que conformarán el Consejo de Ministros de esta legislatura, las quinielas apuntan a que habrá una profunda remodelación. A continuación, ofrecemos un breve resumen de los Ministros que más suenan para formar parte del Ejecutivo. Presidencia – Mariano Rajoy Después de casi un año sabático recorriendo Europa como mochilero a fin de encontrarse consigo mismo, Rajoy retoma su labor como Presidente del Gobierno. Deberá afrontar temas decisivos para el país, como el reajuste de las pensiones, los nuevos recortes impuestos por Europa, y la renovación de memes de Internet. Vicepresidencia – La Yenni Con el objetivo de rejuvenecer el gobierno, la Yenni (22 años) aparcará su trabajo de gogó en la discoteca Sensaciones para asumir todas aquellas tareas a las que el Presidente no se vea capacitado, por ejemplo: todas. Ministerio de Justicia – La Débora Otro perfil joven en un puesto de alta responsabilidad. Debo asume la cartera de Justicia, una tarea que no se le presenta fácil, pues deberá compaginarlo con acabar la ESO, requisito indispensable si quiere que le compren una moto. Ministerio de Defensa – Mario'John Cobra' Vaquero Aficionado al Tae Kwondo y al Jiu Jitsu, Mario 'John Cobra' Vaquero tendrá el cometido de aplicar serios recortes a Defensa mediante la implantación de la lucha cuerpo a cuerpo y la sustitución de los tanques por españoles o sudamericanos nacionalizados al alistarse al ejército. Será uno de los miembros más dialogantes del equipo de Rajoy. Ministerio de Agricultura – John Deere 3036E Compacto La serie 3E le ofrece más potencia y características que cualquier otro tractor estándar de su categoría, y resulta sumamente sencillo de manejar. Destacan su potente motor diésel de 3 cilindros, la transmisión hidrostática y tracción delantera mecánica, el enganche de tres puntos trasero Categoría 1 y la TDF independiente que aseguran flexibilidad para todo tipo de tareas. Consume menos carburante que su predecesor en el cargo. Cuanto más trabaje, más apreciará el sistema Twin Touch™ controlando el avance del tractor por pedales, el respaldo alto ergonómico y la columna de dirección ajustable que hacen al 3E tan cómodo y productivo. Ministerio de Interior – Ángel Marcelo Es un ser incorpóreo de luz con sobrada experiencia al frente de Interior, pues ha sido la mano derecha de su predecesor en el cargo, Jorge Fernández Díaz, desde que se conocieron en Las Vegas. Los que le conocen destacan su capacidad de diálogo. Dirigirá el ministerio a través de Fernández Díaz, pues es la única persona que puede verle y hablar con él. Ministerio de Sanidad – Virus del ébola Es uno de los nombres que más ha sonado en el Ministerio de Sanidad por lo que a pocos sorprendería que le fuera otorgada una cartera microscópica. Ministerio de Asuntos Exteriores – Pedro Duque El Presidente Rajoy pretende dar un golpe de autoridad con este nombramiento, pues nadie ha estado más al Exterior que el astronauta. Ministerio de Educación, Cultura y Deportes – Rubén Doblas Gundersen El proceso de rejuvenecimiento del Gobierno está encabezado por Doblas Gundersen. Entre sus propuestas más interesantes está la posible supresión del sistema educativo por videotutoriales de Youtube. Gran defensor de la idea de que aprender no debe ser aburrido, sino más bien un gameplay. Ministerio de Medio Ambiente- Xavier Garcia Albiol El ex alcalde de Badalona se hizo popular con su eslogan ""Limpiemos Badalona"", un alegato a favor de la ecología y el cuidado de la naturaleza. Sus propuestas, de sobras conocidas, incluyen la reducción de emisiones de co2, de musulmanes y de contaminación acústica. Ministerio de Industria, Energía y Turismo – Señor X. La gran incógnita del futuro Consejo de Ministros. De él solo se sabe que tiene acento andaluz, que es un apasionado de los bonsais y que tiene una excelente relación con las grandes empresas energéticas. Según fuentes del gobierno, el hecho de no conocer su aspecto no es impedimento, pues lleva tiempo gobernando desde la sombra. Ministerio de Cataluña – Señor Pantumáquez El nuevo gobierno tiene muy claro que tiene un frente abierto en Cataluña. Por ello, ha creado el Ministerio de Lo de Cataluña, y ha colocado al frente a una persona consciente de la realidad catalana, y que confían en que será bien recibida entre los independentistas. Ministerio de lo que quiera – Rita Barberà La otrora Alcaldesa de Valencia, Rita Barberá, ve correspondida su labor en el partido y recibirá la cartera que ella misma escoja a fin de ""poder sacar el mayor partido posible de sus aptitudes"". De este modo, Barberá podrá ejercer un cargo a medida, en un Ministerio donde podrá hacer lo que le venga en gana, sin tener que dar explicaciones. La sustituirán en el Senado seis personas de complexión normal. Ministerio de Soyjefamandomucho – Angela Merkel Por último, el gran poder de decisión de Merkel se ve oficializado con este Ministerio, que podrá imponer sus decisiones por encima de cualquier ley o decreto aprobados por el resto de carteras. Este ministerio queda desierto hasta que el presidente electo averigüe lo que es ""Fomento"" Etiquetas",fake
"¿Quién es Mariano Rajoy, el nuevo presidente de España? TODO LO QUE DEBES SABER SOBRE EL POLÍTICO QUE DIRIGIRÁ ESPAÑA Presidente del Gobierno El próximo presidente de España es, ante todo, el hombre de confianza de los socialistas. El PSOE ha aupado su candidatura pese a tener un perfil poco conocido por los españoles. Muchos ignoran, por ejemplo, que este individuo ha sido presidente del Ejecutivo durante los últimos cuatro años. Aquí está todo lo que necesitas saber sobre nuestro próximo presidente. Nombre: Su nombre es Mariano Rajoy, aunque en Pontevedra, donde se crió, se le conoce también como 'El rompehuesos de Pontevedra', 'El Martillo' o 'El trumpito guasón'. Esposa: No. Partido político: Partido Popular, PSOE, Ciudadanos, Convergència i Unió, Asociación de Lucha Canaria Pontevedra. Música: 'Mi gran noche' de Raphael. Nacimiento: Pese a que él mismo considera que su tierra natal es Pontevedra, nació en Albania en 1467. Familia: Se cree que tiene cinco hijos que se llaman Amanda, Kevin, Señor José, Alejandro y El Bebé. Su perfil familiar ha sido del agrado de los grandes partidos españoles, motivo por el que se creyó que su candidatura podría llegar a buen puerto. Su hijo mayor, Kevin, es animador del videojuego EA Sports. Según ciertos rumores, tiene un primo que es Premio Nobel de Física. Habilidades: Sabe pilotar helicópteros. Twitter: Es un tuitero activo en @marianokrystal. Mayor miedo: Los hombres atractivos y seguros de sí mismos. Profesión: Ocupa el cargo de registrador de la propiedad en Santa Pola. Según dicen los que le conocen, este cargo para él es mucho más que una afición. Lo considera su auténtica profesión y saca adelante las tareas de presidencia durante la hora de la comida o los fines de semana. Eslogan de campaña: 'Tsh, tsh, espera… dónde vas… a ver… espera. No… bueno, déjame a mí. No, ahora no. Tú déjalo y yo, cuando eso, pues ya… Vale, como quieras, yo qué sé'. Controversias: Esparció hilillos de plastilina por toda la costa gallega. Es persona non grata en Pontevedra porque propinó un puñetazo a un adolescente durante un examen de lengua. Aficiones: Fuma cigarros puros de fuerte olor a arenque. Política: En 2015 hizo alcalde a un vecino. Ocupación previa: Presidente de España. Firma:",fake
"Susana Díaz no descarta pactar con Vox para que no gobierne el PP ""APELO AL SENTIDO DE LA RESPONSABILIDAD DE LA ULTRADERECHA"", HA DICHO Por Vox La candidata del PSOE y presidenta de la Junta, Susana Díaz, ha cosechado el peor resultado histórico para los socialistas andaluces desde que se instauró la autonomía. Consciente de la situación, Díaz no ha tardado en ponerse en contacto con Vox, partido que, con 12 diputados, tiene ahora la llave para formar gobierno. ""Hay que impedir que el Partido Popular tome las riendas de Andalucía, apelo al sentido de la responsabilidad de la ultraderecha"", ha asegurado la socialista. ""Solo un frente nacionalista y socialista, es decir, nacionalsocialista, puede alejar de la Junta de Andalucía el fantasma de los populares, esa España de la corrupción y de la crisis económica"", ha insistido Díaz. Los guiños de Susana Díaz también se han dirigido a Ciudadanos, el partido que partía con más expectativas. ""Si siguen aspirando a superar al PP para convertirse en la segunda fuerza en Andalucía y quién sabe si en la primera, que sepan que les tendemos la mano también"", ha anunciado. ""Calla, mujer"" ha sido la respuesta que Vox ha dado a Susana Díaz, aunque la socialista insiste en que ""las negociaciones acaban de empezar y hay que ir paso a paso"".",fake
"nuestro país es tal vez una de las regiones en el mundo que posee más aspectos culturales que nos hacen únicos y son imposibles de entender por ciudadanos de otras partes del planeta. En base a nuestro contexto de vida hemos creado nuestro propio lenguaje, señas, códigos y estereotipos que son indescifrables por personas que no hayan crecido en el entorno populachero mexicano. Una de las cosas más relevantes es el término ""naco"", eso que no se puede definir con un término especifico pero que todos los mexicanos entendemos a la perfección. Bien dicen que ser naco es chido, sin embargo ¿qué se necesita para entrar en esta categoría?, los factores son simples y es muy fácil que una cosa o situación ingrese en dicho contexto. Tal es el caso del cadete que ayudó a López Obrador colocándole la embestidura presidencial, y no decimos que ese joven sea naco, sino que lo naco es el revuelo que causó entre un grupo de mujeres mexicanas. Si bien el cadete goza de galanura, la realidad es que en un antro o calle podría pasar desapercibido por la mayoría de las féminas, pero al ser la figura que estuvo detrás del presidente, y poseer juventud y belleza (contrastando con la imagen de Obrador) provocó que un grupo de mujeres lo elevara al nivel de Dios de la sensualidad, y eso precisamente es lo que lo vuelve naca la situación. Además, no es difícil deducir las características que poseen las mujeres que idolatran a este hombre, así que si tú te emocionaste al ver al cadete seguramente reúnes más de uno de los siguientes requisitos: 1.- Tiene los codos y las axilas prietas (y lo más seguro es que el cuello también) 2.- Es talla 34 pero se aferra a ser talla 28, lo que provoca que al ponerse pantalones se le haga una figura de ""cuerpo de cono de helado"" 3.- Fuma con sus amigas mientras habla de ""lo sabrosos"" que están los hombres, y el 90% del tiempo trae un cigarrote en los dedos que le deja apestoso todo el cuerpo 4.- Cuando se arregla y va de antro o un evento de gala , sale con el pelo húmedo y no se le seca en toda la noche 5.- Cree que por tomar Herbalife está bien buenota, es fitness y nutre su cuerpo 6.- Se pone unos leggins y automáticamente se siente bien sabrosa, aunque en realidad da asco 7.- Dice cosas como ""lastima que hay pocos hombres guapos en el mundo"" o ""se burla"" de los feos, cuando ella está bien culera 8.- Usa Ángel Face de Pond´s y la cara le apesta a talco barato 9.- Por alguna razón, cree que tener la ceja delgada es elegante y la hace ver más atractiva 10.- Cuando se toma fotos en su casa siempre sale un cochinero de ropa o basura alrededor de ella 11.- Cada que sale a tomar se retrata con un wey con sombrero, cinto piteado y botas que se siente buchón y millonario, y se cree el galán que México esperaba por presumir a su lado a las fans del cadete 12.- ¿Ya mencionamos que apesta asquerosamente a cigarro? 13.- Cree que por ponerse minifalda y enseñar las piernas automáticamente se vuelve bien sabrosa y buenota 14.- Se toma fotos con tipos drogándose, y siempre sale atrás o a los lados haciendo pose dizque ""sexy linda"" y con boca duck face 15.- Y por supuesto, lo único que le interesa del nuevo gobierno de Obrador es el cadete, y ver su ""pack""",fake
